Date,Campaign name,Ad group name,Spend in account currency,Impressions,Reach,Outbound clicks,Saves,Engagements,Total conversions (Checkout),Total order value (Checkout)
2026-06-21,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,0.54,165,157,1,0,1,0,0
2026-06-21,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,0.21,42,36,0,0,0,0,0
2026-06-21,Conversions Campaign | 2026-06-14,Conversions Audience list ad group | 2026-06-14 20:56 UTC,0.74,31,28,0,0,0,0,0
2026-06-21,Conversions Campaign | 2026-06-14,Conversions Audience list ad group | 2026-06-14 20:56 UTC,1.90,142,125,0,0,0,0,0
2026-06-21,Conversions Campaign | 2026-06-14,Conversions Audience list ad group | 2026-06-14 20:56 UTC,0.53,121,103,0,0,0,0,0
2026-06-21,Conversions Campaign | 2026-06-14,Conversions Audience list ad group | 2026-06-14 20:56 UTC,1.22,124,104,1,0,1,0,0
2026-06-21,Conversions Campaign | 2026-06-14,Conversions Audience list ad group | 2026-06-14 20:56 UTC,0.82,91,66,2,0,5,0,0
2026-06-21,Conversions Campaign | 2026-06-14,Conversions Audience list ad group | 2026-06-14 20:56 UTC,0.51,107,88,0,0,0,0,0
2026-06-21,Conversions Campaign | 2026-06-14,Conversions Audience list ad group | 2026-06-14 20:56 UTC,0.17,28,16,0,0,3,0,0
2026-06-21,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,4.22,626,562,3,1,4,0,0
2026-06-21,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,0.40,34,32,0,0,0,0,0
2026-06-21,Conversions Campaign | 2026-06-14,Conversions Audience list ad group | 2026-06-14 20:56 UTC,1.30,136,109,2,0,2,0,0
2026-06-21,Conversions Campaign | 2026-06-14,Conversions Audience list ad group | 2026-06-14 20:56 UTC,0.31,17,15,0,0,0,0,0
2026-06-21,Awareness_22.6.26,Awareness_Ad Group,0.04,20,20,0,0,0,0,0
2026-06-21,Awareness_22.6.26,Awareness_Ad Group,0,1,1,0,0,0,0,0
2026-06-21,Awareness_22.6.26,Awareness_Ad Group,0.12,27,28,0,0,0,0,0
2026-06-21,Awareness_22.6.26,Awareness_Ad Group,0.01,6,6,0,0,0,0,0
2026-06-21,Awareness_22.6.26,Awareness_Ad Group,0.11,28,28,0,0,0,0,0
2026-06-21,Awareness_22.6.26,Awareness_Ad Group,0.39,86,82,0,0,0,0,0
2026-06-21,Awareness_22.6.26,Awareness_Ad Group,0.03,12,12,0,0,0,0,0
2026-06-21,Awareness_22.6.26,Awareness_Ad Group,1.38,297,276,0,0,1,0,0
2026-06-21,Awareness_22.6.26,Awareness_Ad Group,0.02,10,10,0,0,0,0,0
2026-06-21,Awareness_22.6.26,Awareness_Ad Group,0.00,1,1,0,0,0,0,0
2026-06-21,Awareness_22.6.26,Awareness_Ad Group,0.03,7,7,0,0,0,0,0
2026-06-21,Awareness_22.6.26,Awareness_Ad Group,0.16,41,40,0,0,0,0,0
2026-06-22,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,1.82,91,80,2,0,2,0,0
2026-06-22,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,1.56,114,103,0,0,0,0,0
2026-06-22,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,0.31,50,44,1,0,1,0,0
2026-06-22,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,0.45,49,48,0,0,0,0,0
